comment_id,video_id,video_title,channel_title,author,comment_text,published_at,like_count,reply_count,service_category,clean_text,tokens_analisis,topic_category,sentiment_label,sentiment_score
Ugy3eZzJhhWdWcxVPcp4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@crisjhota7275,Me registre en Claro video pero no puedo ver ningún video porque no estoy vinculado Q HAGO,2021-10-04T12:06:59Z,0,0,Facturación y Tarifas,me registre en claro video pero no puedo ver ningu n video porque no estoy vinculado q hago,registre puedo ver ningu vinculado hago,Experiencia General de Marca,NEUTRO,0.6
UgygDQEsWuNl-vXbgDZ4AaABAg,wpSBLTr1UFI,¿Cómo ATENDER QUEJAS y RECLAMOS de los CLIENTES?,Claro RD,@dgcynthiamtz,"Muy interesante, ¡muchas gracias porque he aprendido algo nuevo! Sólo una duda, si 5 meses después de que se aprobó el trabajo (de diseño) aparece el director de la empresa a reclamar por lo que se realizo con todo y que tengo la aprobación que de la persona que asignó y quiere cambiar cosas como si fuera el mismo proceso  ¿Qué manejo se le da? Considerando que es un cliente de tipo dominante y neurótico (esta sería la segunda vez que se queja).  Ojalá leas mi mensaje y gracias.",2021-09-22T20:16:01Z,0,2,Atención al Cliente y Soporte,muy interesante muchas gracias porque he aprendido algo nuevo so lo una duda si meses despue s de que se aprobo el trabajo de disen o aparece el director de la empresa a reclamar por lo que se realizo con todo y que tengo la aprobacio n que de la persona que asigno y quiere cambiar cosas como si fuera el mismo proceso que manejo se le da considerando que es un cliente de tipo dominante y neuro tico esta seri a la segunda vez que se queja ojala leas mi mensaje y gracias,interesante muchas gracias aprendido nuevo duda meses despue aprobo trabajo disen aparece director empresa reclamar realizo aprobacio persona asigno quiere cambiar cosas mismo proceso manejo considerando cliente tipo dominante neuro tico seri segunda vez queja ojala leas mensaje gracias,Experiencia General de Marca,NEGATIVO,0.85
UgyNRtqsOiJp7fse2uR4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@musicjm9709,Bro a mí no me sale así como a ti que tengo que hacer lo e intentado varias veces y nada!,2021-09-12T01:23:25Z,1,0,Facturación y Tarifas,bro a mi no me sale asi como a ti que tengo que hacer lo e intentado varias veces y nada,bro sale asi hacer intentado varias veces,Experiencia General de Marca,NEUTRO,0.6
UgxKwmR2zk6rPM62foF4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@elgatorgbv3610,quiero registrarme pero no me llega ni un correp trm :v,2021-09-08T15:19:39Z,1,0,Facturación y Tarifas,quiero registrarme pero no me llega ni un correp trm v,quiero registrarme llega correp trm,Experiencia General de Marca,NEUTRO,0.6
Ugz2iHkB0cdIJSDKPJV4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@abyssaltamer,Alguien me ayuda con la cedula?,2021-08-29T03:18:45Z,0,0,Facturación y Tarifas,alguien me ayuda con la cedula,alguien ayuda cedula,Experiencia General de Marca,NEUTRO,0.6
UgzZZFHkchMz054sJZR4AaABAg,wpSBLTr1UFI,¿Cómo ATENDER QUEJAS y RECLAMOS de los CLIENTES?,Claro RD,@mandrakeghost9712,"Y como evitan que la genta se haga encajosa y que encuentre falla inexistentes por las compesaciones mencionadas
y he visto me han tocado clientes que salen ""a mi no me regales nada""",2021-08-28T03:53:26Z,0,1,Atención al Cliente y Soporte,y como evitan que la genta se haga encajosa y que encuentre falla inexistentes por las compesaciones mencionadas y he visto me han tocado clientes que salen a mi no me regales nada,evitan genta haga encajosa encuentre falla inexistentes compesaciones mencionadas visto tocado clientes salen regales,Experiencia General de Marca,NEGATIVO,0.75
UgzCahakLHrfv-FWL8h4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@ideasgeniales5876,Esto es para argentina? Se puede pagar el wifi desde aca?,2021-07-23T23:31:03Z,2,0,Fibra Óptica e Internet Hogar,esto es para argentina se puede pagar el wifi desde aca,argentina puede pagar wifi aca,Fibra Óptica e Internet Hogar,NEUTRO,0.6
UgxdSIWRffDTk9-cJb14AaABAg,EkLg289O9Ho,Configurar APN 3G/4G Claro Republica Dominicana - 2021,Claro RD,@kevinprmlml6263,Ese apn acelera la velocidad?,2021-07-20T00:46:20Z,1,0,Red Móvil y Cobertura 5G,ese apn acelera la velocidad,apn acelera velocidad,Experiencia General de Marca,NEUTRO,0.6
UgwY9pK2Et1uerKjYQ54AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@ShoxZnOficial,Se puede siendo menor de edad?,2021-07-19T06:00:32Z,5,2,Facturación y Tarifas,se puede siendo menor de edad,puede menor edad,Experiencia General de Marca,NEUTRO,0.6
UgxPTyqnYZoEd0JNg1J4AaABAg,EkLg289O9Ho,Configurar APN 3G/4G Claro Republica Dominicana - 2021,Claro RD,@mariorivas5187,Ola para el apn para claro panamá,2021-07-18T00:40:40Z,1,2,Red Móvil y Cobertura 5G,ola para el apn para claro panama,ola apn panama,Experiencia General de Marca,NEUTRO,0.6
